timestamp,archivo,pixeles_fuego,shape
20250901_1200,dataset_focos_igeos/sample_20250901_1200.npz,0,"(224, 303)"
20250901_1300,dataset_focos_igeos/sample_20250901_1300.npz,0,"(224, 303)"
20250901_1400,dataset_focos_igeos/sample_20250901_1400.npz,2,"(224, 303)"
20250901_1500,dataset_focos_igeos/sample_20250901_1500.npz,0,"(224, 303)"
20250901_1600,dataset_focos_igeos/sample_20250901_1600.npz,0,"(224, 303)"
20250901_1700,dataset_focos_igeos/sample_20250901_1700.npz,1,"(224, 303)"
20250901_1800,dataset_focos_igeos/sample_20250901_1800.npz,1,"(224, 303)"
20250901_1900,dataset_focos_igeos/sample_20250901_1900.npz,0,"(224, 303)"
20250901_2000,dataset_focos_igeos/sample_20250901_2000.npz,0,"(224, 303)"
20250901_2100,dataset_focos_igeos/sample_20250901_2100.npz,0,"(224, 303)"
20250901_2200,dataset_focos_igeos/sample_20250901_2200.npz,0,"(224, 303)"
20250901_2300,dataset_focos_igeos/sample_20250901_2300.npz,0,"(224, 303)"
20250902_0000,dataset_focos_igeos/sample_20250902_0000.npz,0,"(224, 303)"
20250902_0100,dataset_focos_igeos/sample_20250902_0100.npz,0,"(224, 303)"
20250902_0200,dataset_focos_igeos/sample_20250902_0200.npz,0,"(224, 303)"
20250902_0300,dataset_focos_igeos/sample_20250902_0300.npz,0,"(224, 303)"
20250902_0400,dataset_focos_igeos/sample_20250902_0400.npz,0,"(224, 303)"
20250902_0500,dataset_focos_igeos/sample_20250902_0500.npz,0,"(224, 303)"
20250902_0600,dataset_focos_igeos/sample_20250902_0600.npz,0,"(224, 303)"
20250902_0700,dataset_focos_igeos/sample_20250902_0700.npz,0,"(224, 303)"
20250902_0800,dataset_focos_igeos/sample_20250902_0800.npz,0,"(224, 303)"
20250902_0900,dataset_focos_igeos/sample_20250902_0900.npz,0,"(224, 303)"
20250902_1000,dataset_focos_igeos/sample_20250902_1000.npz,0,"(224, 303)"
20250902_1100,dataset_focos_igeos/sample_20250902_1100.npz,0,"(224, 303)"
20250902_1200,dataset_focos_igeos/sample_20250902_1200.npz,0,"(224, 303)"
20250902_1300,dataset_focos_igeos/sample_20250902_1300.npz,0,"(224, 303)"
20250902_1400,dataset_focos_igeos/sample_20250902_1400.npz,0,"(224, 303)"
20250902_1500,dataset_focos_igeos/sample_20250902_1500.npz,0,"(224, 303)"
20250902_1600,dataset_focos_igeos/sample_20250902_1600.npz,0,"(224, 303)"
20250902_1700,dataset_focos_igeos/sample_20250902_1700.npz,0,"(224, 303)"
20250902_1800,dataset_focos_igeos/sample_20250902_1800.npz,1,"(224, 303)"
20250902_1900,dataset_focos_igeos/sample_20250902_1900.npz,0,"(224, 303)"
20250902_2000,dataset_focos_igeos/sample_20250902_2000.npz,1,"(224, 303)"
20250902_2100,dataset_focos_igeos/sample_20250902_2100.npz,2,"(224, 303)"
20250902_2200,dataset_focos_igeos/sample_20250902_2200.npz,1,"(224, 303)"
20250902_2300,dataset_focos_igeos/sample_20250902_2300.npz,0,"(224, 303)"
