TPW_bin_dm,zenith_bin_x10deg,trans_4um,trans_11um,offset_4um,offset_11um
1,1,0.887,0.949,0.046,0.044
1,2,0.883,0.946,0.048,0.046
1,3,0.874,0.941,0.052,0.05
1,4,0.86,0.933,0.058,0.058
1,5,0.837,0.92,0.069,0.069
1,6,0.798,0.897,0.087,0.089
1,7,0.719,0.853,0.126,0.128
2,1,0.875,0.862,0.055,0.121
2,2,0.87,0.856,0.057,0.127
2,3,0.861,0.845,0.061,0.137
2,4,0.846,0.826,0.068,0.153
2,5,0.821,0.797,0.08,0.179
2,6,0.778,0.749,0.101,0.224
2,7,0.695,0.659,0.144,0.307
3,1,0.864,0.754,0.062,0.22
3,2,0.858,0.744,0.065,0.229
3,3,0.848,0.726,0.07,0.246
3,4,0.832,0.697,0.077,0.272
3,5,0.806,0.652,0.09,0.315
3,6,0.761,0.579,0.113,0.383
3,7,0.675,0.456,0.158,0.503
4,1,0.853,0.634,0.069,0.332
4,2,0.847,0.62,0.072,0.345
4,3,0.836,0.596,0.077,0.368
4,4,0.819,0.558,0.086,0.404
4,5,0.792,0.501,0.1,0.459
4,6,0.745,0.415,0.124,0.545
4,7,0.658,0.282,0.172,0.681
5,1,0.842,0.511,0.076,0.45
5,2,0.836,0.496,0.079,0.465
5,3,0.825,0.468,0.085,0.493
5,4,0.807,0.425,0.094,0.535
5,5,0.779,0.363,0.109,0.598
5,6,0.731,0.274,0.134,0.689
5,7,0.642,0.155,0.184,0.817
